import time: self [us] | cumulative | imported package
import time:       387 |        448 |               h5py._hl.base
import time:       251 |        698 |             h5py._hl.filters
import time:       289 |        289 |                 h5py.h5l
import time:       259 |        259 |                   h5py._selector
import time:       202 |        202 |                   h5py._hl.selections
import time:        85 |         85 |                   h5py._hl.selections2
import time:       101 |        101 |                   h5py._hl.datatype
import time:       409 |        409 |                   h5py._hl.vds
import time:       484 |       1537 |                 h5py._hl.dataset
import time:       290 |       2116 |               h5py._hl.group
import time:       290 |       2405 |             h5py._hl.files
import time:       219 |        219 |             h5py._hl.attrs
import time:       394 |      15330 |           h5py
import time:       101 |        101 |             zarr._version
import time:        65 |         65 |               zarr.api
import time:        61 |         61 |                   zarr.abc
import time:       854 |        915 |                 zarr.abc.store
import time:       453 |        453 |                       zarr.core.buffer.core
import time:        87 |         87 |                               donfig.version
import time:       255 |        255 |                                 pprint
import time:       287 |        287 |                                   yaml.error
import time:       284 |        284 |                                   yaml.tokens
import time:       269 |        269 |                                   yaml.events
import time:       202 |        202 |                                   yaml.nodes
import time:      2615 |       2615 |                                     yaml.reader
import time:       347 |        347 |                                     yaml.scanner
import time:       226 |        226 |                                     yaml.parser
import time:       147 |        147 |                                     yaml.composer
import time:       603 |        603 |                                     yaml.constructor
import time:       877 |        877 |                                     yaml.resolver
import time:       304 |       5115 |                                   yaml.loader
import time:       498 |        498 |                                     yaml.emitter
import time:       162 |        162 |                                     yaml.serializer
import time:       240 |        240 |                                     yaml.representer
import time:       265 |       1164 |                                   yaml.dumper
import time:       374 |        374 |                                     yaml._yaml
import time:       305 |        679 |                                   yaml.cyaml
import time:       252 |       8249 |                                 yaml
import time:       137 |        137 |                                 donfig._lock
import time:       457 |       9096 |                               donfig.config_obj
import time:       124 |       9307 |                             donfig
import time:       379 |       9685 |                           zarr.core.config
import time:       249 |        249 |                                 zarr.errors
import time:       390 |        638 |                               zarr.core.common
import time:      1388 |       2026 |                             zarr.core.dtype.common
import time:        95 |         95 |                               zarr.core.dtype.npy
import time:       485 |        485 |                               zarr.core.dtype.wrapper
import time:       498 |       1077 |                             zarr.core.dtype.npy.bool
import time:      2509 |       2509 |                               zarr.core.dtype.npy.common
import time:      1554 |       4062 |                             zarr.core.dtype.npy.bytes
import time:      1193 |       1193 |                             zarr.core.dtype.npy.complex
